	F16	F17	F18	F22	F23	F24
DNAJC12	2.02816816667833	2.37120580000973	5.34906772535821	2.07862139267036	0	5.08643557804069
DNAJC13	2427.71729551396	3681.29700451511	2657.59514821547	4839.0306021366	3740.14458155144	3665.62457324133
DNAJC14	1813.18234101043	2461.3116204101	2384.7926942222	2266.73662870703	2252.61013864466	2295.67792422237
DNAJC15	2.02816816667833	0	3.56604515023881	2.07862139267036	0	0
DNAJC16	831.548948338117	966.266363503967	913.799069748695	1393.71564378548	1138.48134034203	948.620235304589
DNAJC17	669.29549500385	254.904623501046	404.746124552105	281.653198706834	325.715249776998	322.140919942577
DNAJC18	573.971591169968	610.585493502507	607.119186828157	469.768434743501	593.593212210416	506.100340015049
DNAJC19	968.450299588904	615.327905102526	761.350639575986	548.756047664975	704.194340639365	697.689413454582
DNAJC2	540.506816419776	304.699945301251	476.067027556881	540.441562094293	440.375135212514	409.458064032276
DNAJC21	1066.8164556728	1030.28892010423	1084.0777256726	1520.51154873837	1391.13896400082	1367.40343122994
DNAJC22	21.2957657501225	8.29922030003407	15.1556918885149	24.9434567120443	14.2056495229843	19.498003049156
DNAJC24	460.394173835982	321.298385901319	318.269529658814	385.584268340352	357.170616577891	303.490656156428
DNAJC25	321.464654418516	254.904623501046	236.250491203321	295.164237759191	319.627114267147	354.355011936835
DNAJC25-GNG10	0	0	0	51.965534816759	50.7344625820868	72.9055766185833
DNAJC27	40.5633633335667	60.4657479002482	35.6604515023881	80.0269236178088	42.616948568953	44.0824416763527
DNAJC28	120.676005917361	30.8256754001265	52.5991659660224	66.5158845654515	79.1457616280555	55.9507913584476
DNAJC3	3072.67477251767	4234.97355881739	3829.93249135648	6722.26158389594	5984.63720618296	6317.35298792654
DNAJC30	855.886966338257	827.550824203397	840.695144168799	842.880974727831	667.665527580263	909.624229206277
DNAJC4	1857.80204067735	1364.6289379056	1556.57870807924	904.200305811606	1284.59659257844	1137.6660909551
DNAJC5	5636.27933519909	7919.82737203251	7625.98755378569	8491.16838905842	8201.73322102016	8298.51964557339
DNAJC6	34.4788588335317	48.6097189001995	28.5283612019105	38.4544957644016	45.6610163238782	42.3869631503391
DNAJC7	2560.5623104314	1992.99847490818	2051.36747267487	2563.97948785889	2615.8688907324	2820.42852802356
DNAJC8	7462.64476929293	4806.43415661973	6088.13058274521	4965.82650708949	5501.6451224015	5676.46210509341
DNAJC9	1233.12624534043	839.406853203446	792.553534640575	879.256849099562	948.734450285024	976.595630983813
DNAL1	635.830720253657	604.657479002482	563.435133737732	643.333321031476	570.255359422656	491.688772543934
