gene_id	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
FAM53B	686.48	764	547	751.3	568	811.22	1521	502	1173	852.16	759	1091
FAM53C	2376	3662.1	2016	3253	3464.45	4103	3808	3011.23	2932.92	2569.61	2860	3384.66
FAM54A	72	56	60	91	42	106	22	16	21	12	10	14
FAM54B	1996.99	3313.02	2715.35	2988.87	2971.01	3167	2634.02	1662	1674.33	2450	2096	2619.03
FAM55A	0	0	0	0	0	0	0	0	0	0	0	0
FAM55B	0	5	0	0	0	0	0	0	0	0	0	0
FAM55C	1142.6	1132.74	512.63	1239.84	1123.15	1465.95	1452.8	745.21	1776.48	1068.01	1445.97	1290.75
FAM55D	0	0	0	0	0	0	0	0	0	0	0	0
FAM57A	2205.44	3869.99	2565.54	3907	4145.56	4351.28	3088	1115	1470.53	2442.07	2169.66	2517.37
FAM57B	0	0	4	0	0	0	14	0	0	0	0	0
FAM58A	1942	1359.67	2163	1339	1469	1324.8	974	861	559	1152.57	1117	1222
FAM58BP	0	0	0	0	0	0	0	0	0	0	0	0
FAM59A	20	51	0	16	44	24	12	30	16	0	8	10
FAM59B	191	320	157	355.76	376.09	304	294	75	171.32	188.01	92	232.38
FAM5B	0	0	0	0	0	0	0	0	0	0	7	0
FAM5C	0	0	0	0	0	0	0	0	0	0	0	0
FAM60A	835.78	2419.02	1281	1761.51	2474.67	2536.01	1791.33	1646.53	1356.38	1270.98	1389	1589.47
FAM63A	315.9	481	566	332.86	318	372.98	497	99	412	263	273	276.94
FAM63B	65.38	135.11	35.96	188.67	167.19	245.6	380.04	80.65	1572.33	91.04	625	480.06
FAM64A	166	183	135	279	177	389	36	0	16	48	38	70
FAM65A	6728	10193.01	6951.95	8702.42	7947	8426	20321.91	9234.97	20915.48	10588.95	7805.99	15990.8
FAM65B	17	111.77	31	62.16	56.95	58	97.97	0	58.08	63	66	49.78
FAM65C	0	0	0	6	0	6	2	0	14	8	0	2
FAM69A	75	234	100	166	154	227	406	234	285	269	262	489
FAM69B	26374.13	30019.03	27632.91	30107.16	23265.96	26228.01	23259.01	10412	12644.99	20809.89	17112.43	21432.93
FAM69C	373	545	283	524	397	412	38	0	4	55	0	16
FAM70A	0	0	0	0	0	0	4	14	4	0	0	0
FAM70B	1999.98	3864.08	3272.01	3403.72	2552.13	2976.1	4973.14	2290	2476.39	3873.06	2926.49	2838.42
FAM71A	0	0	0	0	0	0	0	0	0	0	0	0
FAM71B	0	0	0	0	0	0	0	0	0	0	0	0
FAM71C	0	0	0	0	0	0	0	0	0	0	0	0
FAM71D	0	0	0	0	0	0	0	0	0	0	0	0
FAM71E1	162.54	91.55	176.35	143.67	165.24	93.04	75.6	0	28.24	79.47	34.18	26.15
FAM71E2	0	0	0	0	0	0	0	0	2	0	0	0
FAM71F1	0	10	0	0	6	0	0	0	16	0	14	8
FAM71F2	0	0	0	2	0	0	0	0	55.02	0	0	0
FAM72A	71.79	28.18	0	0	25.26	32.59	79.54	107.66	19.75	53.54	57.29	22.53
FAM72B	0	71	0	26.87	11.13	18.29	102.52	144.32	106.57	42.46	128.93	19.74
FAM72D	66.21	39.82	0	22.13	5.61	62.12	96.94	50.02	96.68	74	53.78	60.73
FAM73A	237.92	320.48	125.46	213.15	240.42	473.71	469.99	175.37	875.58	227.99	379.61	392.22
FAM73B	905	877	596	728	718	672	821	526	905.52	786	747	947
FAM75A1	0	0	0	0	0	0	0	0	0	0	0	0
FAM75A2	0	0	0	0	0	0	0	0	0	0	0	0
FAM75A3	0	0	0	0	0	0	0	0	0	0	0	0
FAM75A4	0	0	0	0	0	0	0	0	0	0	0	0
FAM75A5	0	0	0	0	0	0	0	0	0	0	0	0
FAM75A6	0	0	0	0	0	0	0	0	0	0	0	0
FAM75A7	0	0	0	0	0	0	0	0	0	0	0	0
FAM75C1	0	0	0	0	0	0	0	0	0	0	0	0
FAM75C2	0	0	0	8	0	0	0	0	0	2	0	0
FAM75D1	0	0	0	0	0	0	0	0	0	0	0	0
FAM75D3	0	0	0	0	0	0	0	0	0	0	0	0
FAM75D4	0	0	28	6	0	0	0	0	0	0	0	0
FAM75E1	0	0	0	0	0	0	0	4	0	0	0	0
FAM76A	175	382.22	267.4	242.73	180	200	543.92	224	278.98	219.49	187	318.94
FAM76B	182.81	258	63	290	314	328	277	195	357	89	324	345
FAM78A	3713.59	6131.98	4161.01	6795.9	3764.99	5675.01	5693	2385	2851.98	3834	1876.02	2380
FAM78B	46	33	156	46	0	32	26	0	59	60	9	52
FAM81A	56	28	8	38	9	36	55	12	36	45	61	43
FAM81B	8	41.13	44	20	26	30	6	20	0	0	2	0
FAM82A1	52	69	48	41	66	74	140	85	78	52	41	115
FAM82A2	1651	2777.98	1889	3302	2607	2556	2552.14	1336	2047.05	2405	2366	2290.39
FAM82B	1352.66	1494.06	1475.95	1376.98	1490	1504	1385.56	396.99	934.08	781.99	881.02	990.11
FAM83A	0	0	0	0	0	0	0	0	0	0	0	0
FAM83B	0	12	0	4	36	13	0	0	0	0	8	0
FAM83C	0	0	0	0	0	0	0	0	0	0	0	0
FAM83D	72	129	77	231	99.83	345.22	254	62	129	182	170	216
FAM83E	0	0	0	0	1	3	0	0	3.02	0	7	0
FAM83F	0	0	0	0	0	0	0	10	0	0	1	4
FAM83G	0	100	10	46	106	67	20	70	76	47	48	41
FAM83H	444.66	783.02	227.09	623	633.01	466.17	484.04	145	414.56	271	175	198
FAM84A	857	1708	947	1213	954	1641	1912.54	696	1885	2145	1490	1831
FAM84B	1101.01	2130.97	1044	1994.75	1558.83	2764.4	1511.94	1243	1451.96	1186.19	1324.94	827
FAM86A	1314.99	1541.04	1367.1	1265.11	1022.59	1262.58	1204.92	437.54	742.75	1022.23	906.35	1332.01
FAM86B1	368.33	493.65	355.32	240.01	298.43	335.51	324.47	112.1	264.44	292.78	219.84	380.76
FAM86B2	0	6.96	0	19.94	0	1.43	20.96	0	3.23	0	1.75	9.31
FAM86C1	448.4	463.44	437.57	395.7	426.66	362.17	533.44	88.74	240.93	294.3	213.45	359.44
FAM89A	1938.56	3505.02	2697.42	2984.01	2949.19	3640.65	3110.8	2100.24	1461.4	2644.18	2190.41	2227
FAM89B	7845.04	12231.05	11430	10701.62	11608.27	9869.06	10493.68	8934	5136	12594	10139	11885
FAM8A1	365	1521.23	413	1142	1669	1745	1264	512	1389	1071	1271	817
FAM90A1	10	13	0	0	20	0	9	0	4	0	0	0
FAM91A1	610	886	479	807	736	1176	2241	1299	3239	1209	2305	1990.98
FAM92A1	681	907	717	740	851	1062.01	650	431	416	976	696	735
FAM92B	0	0	0	0	0	0	0	0	0	0	0	4
FAM96A	1888.99	2671	2077	2157	2419	2404	2030.68	1551	969.85	2059.01	1685.07	2027.18
FAM96B	8398.63	5022.5	8115	4137.16	4994.52	4742.15	3424.17	2450	1872.33	5037.5	4049.17	4497.01
FAM98A	1423	1736.09	1261	1724.1	1441	1782.57	1949.98	1109.89	1993.83	1448	1854.37	1792.01
FAM98B	151	537.2	244	493	329	551	888.4	314	554.64	342	433	529
FAM98C	320	320	554	405	317	355	379	154	274	194	85	294
FAM9A	0	0	0	0	0.82	0	0	0	0	0	0	0
FAM9B	0	0	0	0	0	0	0	0	0	0	0	0
FAM9C	0	0	0	0	0	0	0	0	0	0	0	0
