	baseMean	log2FoldChange	lfcSE	pvalue	padj
VWCE	547.142129957512	0.132574699471604	0.255358909137235	0.471111564712211	NA
VWF	2816.86545693312	0.527882488965935	0.192134772593986	0.00127499571717136	0.0328248334505766
WAC	2306.36204967466	-0.0587089021929062	0.195560169936306	0.723058828188397	0.833096453122229
WAPAL	987.67366121069	-0.181554690930351	0.230830568657279	0.312652670132906	0.508621625551869
WARS	4406.21183060162	-0.040667565832169	0.16531771742304	0.783051807496019	0.872829866790727
WARS2	415.874187204886	-0.0389415994410168	0.245641695964605	0.831451281762273	NA
WAS	43.1922576272692	0.156337752898028	0.333322834987196	0.27551402141516	NA
WASF1	1436.9014301616	-0.379865418492898	0.230013382552489	0.0344385988924207	0.15598893694856
WASF2	7606.7449211167	-0.570839125836052	0.189804819694248	0.00044645818893651	0.0212811746217422
WASF3	267.983076611585	-0.201487226477834	0.299236980348758	0.248708003577162	NA
WASH1	2812.4397776385	0.566688382512805	0.255329160421248	0.0021116587933296	0.0413673957613269
WASL	2042.84388142743	-0.24563517532476	0.182684170363536	0.121408076088941	0.296741635755752
WBP1	4401.22633243845	0.200113105323243	0.199871510346126	0.233131566686196	0.427826453525299
WBP11	2099.38136430862	-0.332038919667305	0.224082855440819	0.0618273080504316	0.206145138768975
WBP2	7173.68499106219	-0.015773813713381	0.166171213531488	0.91527372386532	0.9533543666368
WBP4	157.59228202005	0.0618551287863794	0.283350970224555	0.732516192878743	NA
WBP5	6215.40608820587	0.277423203283898	0.20248538641327	0.100868532756555	0.267119237134289
WBSCR16	3316.64170680319	0.0327491917141266	0.208868778584736	0.84897702318074	0.911871221840401
WBSCR17	75.9315330191472	-0.0693064608450316	0.349717165847159	0.537983656395704	NA
WBSCR22	2489.85545895732	0.3487041141294	0.237531750881287	0.0547130958766606	0.194305753636501
WBSCR27	26.6294793522433	0.0780959256638666	0.356123123129376	0.419889825613446	NA
WDFY1	1763.66938339205	-0.36880034356212	0.228238155585459	0.0394738768698575	0.166837809682958
WDFY2	224.294939996081	-0.104479642815833	0.268046186340097	0.56968640713552	NA
WDFY3	776.441876150738	-0.365816101916979	0.243959187326282	0.0453290551195277	0.17759923795831
WDFY4	22.3500996106972	0.00109067340403766	0.353991252088858	0.991374703428261	NA
WDHD1	177.55811149087	-0.218964445477558	0.305462779742611	0.200566132385021	NA
WDPCP	57.7055443464169	-0.0641594181712087	0.351895384073811	0.549664439848166	NA
WDR1	39163.9476395489	-0.0612990382499792	0.165249662274231	0.678024959011329	0.803175144189384
WDR11	1521.89996670319	-0.350676471514359	0.23683560849897	0.0531530551451433	0.191715323364247
WDR12	776.227936717717	0.106398976007735	0.226481345117559	0.551216766076584	0.712848230193935
WDR13	5653.20355508153	0.348900938165557	0.223433524675798	0.0494463968380501	0.184417879877659
WDR17	39.134181379352	0.0860576994266988	0.344455060312301	0.487524306930787	NA
WDR18	7588.12155695536	0.44680731566314	0.229069160760256	0.0127303754612857	0.0934037660249393
WDR19	373.859164220096	-0.128857292593536	0.263315148401471	0.483867604132105	NA
WDR20	471.94322250691	-0.133619523422604	0.242361422051436	0.463907309637908	NA
WDR24	1655.63643192962	0.130118589993088	0.227613933361898	0.466992554246832	0.645958279801972
WDR25	995.867226673501	0.382303919571363	0.228353267869446	0.032827921319147	0.152845865393248
WDR26	4675.16358868657	-0.35248444099183	0.197181431144314	0.0342559934263857	0.155782443344338
WDR27	96.5745201208949	-0.14889621593383	0.336899258021293	0.280887722715922	NA
WDR3	872.436635181068	-0.277820018669384	0.255209677230363	0.13106644440607	0.309441596374198
WDR31	12.1878932646556	-0.0793047271734854	0.364833231926896	0.260097713558165	NA
WDR33	1707.28965612289	0.10517510505845	0.183073898335992	0.507812394155422	0.678121663360921
WDR34	4641.74491928198	0.475050674077404	0.220236034559888	0.00710877001795747	0.0701565766507742
WDR35	69.12608355647	-0.25246207675205	0.325553816274013	0.102449033255475	NA
WDR36	675.312002711943	-0.168752851047987	0.216815663743783	0.335481119239344	0.530540877973663
WDR37	1213.27785058303	-0.277872181840352	0.225154696276816	0.118787992480201	0.292895754900835
WDR4	430.264504876307	0.0461811909480658	0.270804289827824	0.801281010736525	NA
WDR41	864.385216340085	0.0559994792004541	0.216851129825709	0.749278834076002	0.851050268222442
WDR43	594.195506282568	-0.0029998951267891	0.24176861364752	0.98687214984899	0.993243424083141
WDR44	406.670963562756	-0.447334312141073	0.266648019631661	0.0151789666771533	NA
WDR45	2993.98119807744	0.156956299573075	0.191193768216603	0.336683550002209	0.531691313546414
WDR45L	3648.08824969687	-0.401020859864769	0.21642582374246	0.021989832007076	0.124413230041479
WDR46	3050.58407117437	0.398413463134164	0.23875162417345	0.0284045949966545	0.142404610616625
WDR47	353.838792156622	-0.416668664457359	0.256821236509283	0.0236836063046904	NA
WDR48	932.401258696504	-0.361257767044705	0.241931696520881	0.0476453076600557	0.181249058481248
WDR5	1870.27495976004	0.192567510887534	0.204024114978868	0.25679142837478	0.452459947705953
WDR53	205.76396537434	0.218200751244929	0.280790390306476	0.229951488898974	NA
WDR54	2836.95969122452	0.244402680235305	0.233104268619179	0.175554089864266	0.365667689573734
WDR55	601.246617452084	0.29770689183709	0.233325476512498	0.0990636262846769	0.264124727991401
WDR59	1140.71504658553	0.0147859364627066	0.219047338685603	0.933061922145609	0.961277047322245
WDR5B	292.078050146537	-0.280245062297528	0.262340315588304	0.128047013546896	NA
WDR6	4193.55088725817	-0.36498317304819	0.192881841489355	0.0262963259529595	0.136116938359677
WDR60	288.261146888406	0.148390371356042	0.294653346000982	0.401431421472879	NA
WDR61	2073.2072362186	0.235491394563659	0.225163957254917	0.186175516518856	0.378239913778002
WDR62	289.293846211464	0.0185379670959439	0.281879656355931	0.918592360283356	NA
WDR63	14.1823472926938	-0.0388220324503823	0.366314390039037	0.507996960187955	NA
WDR65	15.6230533535981	0.0066200901953996	0.363930266921689	0.921552541698447	NA
WDR66	15.5870853271357	0.0656005579085698	0.36444254361724	0.346381059787143	NA
WDR67	59.6472027007643	-0.0278584635040162	0.323910685800886	0.856867584557595	NA
WDR7	658.704233140822	-0.363272420773608	0.250632234478371	0.0479447895710139	0.182003664991359
WDR70	1347.45222937444	0.200161892065288	0.230522612069322	0.265422077797927	0.460959087239485
WDR73	434.978419601963	-0.0774386003653097	0.240719132596809	0.67069443459396	NA
